Node ID,X Coordinate,Y Coordinate,DOF ID
1,1.,0.65,0
2,1.,0.7,1
3,1.,0.75,2
4,1.,0.8,3
5,1.15,0.5,4
6,1.2,0.5,5
7,1.25,0.5,6
8,1.3,0.5,7
9,0.85,0.5,8
10,0.7,0.5,9
11,0.75,0.5,10
12,0.8,0.5,11
13,1.,0.35,12
14,1.,0.3,13
15,1.,0.25,14
16,1.,0.2,15
17,1.3,0.8,16
18,1.24,0.8,17
19,1.18,0.8,18
20,1.12,0.8,19
21,1.06,0.8,20
22,0.7,0.2,21
23,0.76,0.2,22
24,0.82,0.2,23
25,0.88,0.2,24
26,0.94,0.2,25
27,0.94,0.8,26
28,0.88,0.8,27
29,0.82,0.8,28
30,0.76,0.8,29
31,0.7,0.8,30
32,1.3,0.2,31
33,1.3,0.26,32
34,1.3,0.32,33
35,1.3,0.38,34
36,1.3,0.44,35
37,1.,0.866667,36
38,1.,0.933333,37
39,1.,1.,38
40,0.7,0.74,39
41,0.7,0.68,40
42,0.7,0.62,41
43,0.7,0.56,42
44,1.3,0.866667,43
45,1.3,0.933333,44
46,1.3,1.,45
47,1.3,0.56,46
48,1.3,0.62,47
49,1.3,0.68,48
50,1.3,0.74,49
51,0.7,1.,50
52,0.7,0.933333,51
53,0.7,0.866667,52
54,1.358333,0.8,53
55,1.416667,0.8,54
56,1.475,0.8,55
57,1.533333,0.8,56
58,1.591667,0.8,57
59,1.65,0.8,58
60,1.708333,0.8,59
61,1.766667,0.8,60
62,1.825,0.8,61
63,1.883333,0.8,62
64,1.941667,0.8,63
65,2.,0.8,64
66,1.24,1.,65
67,1.18,1.,66
68,1.12,1.,67
69,1.06,1.,68
70,1.06,0.866667,69
71,1.12,0.866667,70
72,1.18,0.866667,71
73,1.24,0.866667,72
74,1.06,0.933333,73
75,1.12,0.933333,74
76,1.18,0.933333,75
77,1.24,0.933333,76
78,1.358333,0.5,77
79,1.416667,0.5,78
80,1.475,0.5,79
81,1.533333,0.5,80
82,1.591667,0.5,81
83,1.65,0.5,82
84,1.708333,0.5,83
85,1.766667,0.5,84
86,1.825,0.5,85
87,1.883333,0.5,86
88,1.941667,0.5,87
89,2.,0.5,88
90,1.023465,0.648153,89
91,1.046353,0.642658,90
92,1.068099,0.633651,91
93,1.088168,0.621353,92
94,1.106066,0.606066,93
95,1.121353,0.588168,94
96,1.133651,0.568099,95
97,1.142658,0.546353,96
98,1.148153,0.523465,97
99,1.047822,0.749384,98
100,1.035643,0.698769,99
101,1.095451,0.747553,100
102,1.070902,0.695106,101
103,1.1427,0.74455,102
104,1.105399,0.689101,103
105,1.189389,0.740451,104
106,1.138779,0.680902,105
107,1.235355,0.735355,106
108,1.170711,0.670711,107
109,1.240451,0.689389,108
110,1.180902,0.638779,109
111,1.24455,0.6427,110
112,1.189101,0.605399,111
113,1.247553,0.595451,112
114,1.195106,0.570902,113
115,1.249384,0.547822,114
116,1.198769,0.535643,115
117,2.,0.866667,116
118,2.,0.933333,117
119,2.,1.,118
120,1.941667,1.,119
121,1.883333,1.,120
122,1.825,1.,121
123,1.766667,1.,122
124,1.708333,1.,123
125,1.65,1.,124
126,1.591667,1.,125
127,1.533333,1.,126
128,1.475,1.,127
129,1.416667,1.,128
130,1.358333,1.,129
131,1.358333,0.933333,130
132,1.358333,0.866667,131
133,1.416667,0.933333,132
134,1.416667,0.866667,133
135,1.475,0.933333,134
136,1.475,0.866667,135
137,1.533333,0.933333,136
138,1.533333,0.866667,137
139,1.591667,0.933333,138
140,1.591667,0.866667,139
141,1.65,0.933333,140
142,1.65,0.866667,141
143,1.708333,0.933333,142
144,1.708333,0.866667,143
145,1.766667,0.933333,144
146,1.766667,0.866667,145
147,1.825,0.933333,146
148,1.825,0.866667,147
149,1.883333,0.933333,148
150,1.883333,0.866667,149
151,1.941667,0.933333,150
152,1.941667,0.866667,151
153,1.358333,0.2,152
154,1.416667,0.2,153
155,1.475,0.2,154
156,1.533333,0.2,155
157,1.591667,0.2,156
158,1.65,0.2,157
159,1.708333,0.2,158
160,1.766667,0.2,159
161,1.825,0.2,160
162,1.883333,0.2,161
163,1.941667,0.2,162
164,2.,0.2,163
165,1.06,0.2,164
166,1.12,0.2,165
167,1.18,0.2,166
168,1.24,0.2,167
169,2.,0.56,168
170,2.,0.62,169
171,2.,0.68,170
172,2.,0.74,171
173,1.358333,0.74,172
174,1.358333,0.68,173
175,1.358333,0.62,174
176,1.358333,0.56,175
177,1.416667,0.74,176
178,1.416667,0.68,177
179,1.416667,0.62,178
180,1.416667,0.56,179
181,1.475,0.74,180
182,1.475,0.68,181
183,1.475,0.62,182
184,1.475,0.56,183
185,1.533333,0.74,184
186,1.533333,0.68,185
187,1.533333,0.62,186
188,1.533333,0.56,187
189,1.591667,0.74,188
190,1.591667,0.68,189
191,1.591667,0.62,190
192,1.591667,0.56,191
193,1.65,0.74,192
194,1.65,0.68,193
195,1.65,0.62,194
196,1.65,0.56,195
197,1.708333,0.74,196
198,1.708333,0.68,197
199,1.708333,0.62,198
200,1.708333,0.56,199
201,1.766667,0.74,200
202,1.766667,0.68,201
203,1.766667,0.62,202
204,1.766667,0.56,203
205,1.825,0.74,204
206,1.825,0.68,205
207,1.825,0.62,206
208,1.825,0.56,207
209,1.883333,0.74,208
210,1.883333,0.68,209
211,1.883333,0.62,210
212,1.883333,0.56,211
213,1.941667,0.74,212
214,1.941667,0.68,213
215,1.941667,0.62,214
216,1.941667,0.56,215
217,1.3,0.133333,216
218,1.3,0.0666667,217
219,1.3,0.,218
220,2.,0.26,219
221,2.,0.32,220
222,2.,0.38,221
223,2.,0.44,222
224,1.358333,0.44,223
225,1.358333,0.38,224
226,1.358333,0.32,225
227,1.358333,0.26,226
228,1.416667,0.44,227
229,1.416667,0.38,228
230,1.416667,0.32,229
231,1.416667,0.26,230
232,1.475,0.44,231
233,1.475,0.38,232
234,1.475,0.32,233
235,1.475,0.26,234
236,1.533333,0.44,235
237,1.533333,0.38,236
238,1.533333,0.32,237
239,1.533333,0.26,238
240,1.591667,0.44,239
241,1.591667,0.38,240
242,1.591667,0.32,241
243,1.591667,0.26,242
244,1.65,0.44,243
245,1.65,0.38,244
246,1.65,0.32,245
247,1.65,0.26,246
248,1.708333,0.44,247
249,1.708333,0.38,248
250,1.708333,0.32,249
251,1.708333,0.26,250
252,1.766667,0.44,251
253,1.766667,0.38,252
254,1.766667,0.32,253
255,1.766667,0.26,254
256,1.825,0.44,255
257,1.825,0.38,256
258,1.825,0.32,257
259,1.825,0.26,258
260,1.883333,0.44,259
261,1.883333,0.38,260
262,1.883333,0.32,261
263,1.883333,0.26,262
264,1.941667,0.44,263
265,1.941667,0.38,264
266,1.941667,0.32,265
267,1.941667,0.26,266
268,1.,0.133333,267
269,1.,0.0666667,268
270,1.,0.,269
271,1.148153,0.476535,270
272,1.142658,0.453647,271
273,1.133651,0.431901,272
274,1.121353,0.411832,273
275,1.106066,0.393934,274
276,1.088168,0.378647,275
277,1.068099,0.366349,276
278,1.046353,0.357342,277
279,1.023465,0.351847,278
280,1.035643,0.301231,279
281,1.047822,0.250616,280
282,1.070902,0.304894,281
283,1.095451,0.252447,282
284,1.105399,0.310899,283
285,1.1427,0.25545,284
286,1.138779,0.319098,285
287,1.189389,0.259549,286
288,1.170711,0.329289,287
289,1.235355,0.264645,288
290,1.180902,0.361221,289
291,1.240451,0.310611,290
292,1.189101,0.394601,291
